0.7299996, 8.456835E-06, -0.00235137, 5, 0.008516093, 0.0010051115593399387029063189, 135028.5, -951.0817, -1.452792, 0.000797999, 0.03187544, 502.0804, 0.4328821, 0.3243295, 0.02813327
 
0.7399996, 0.0002267189, -0.002351285, 5, 0.008538458, 0.0010010498895688198714833596, 135266.8, -951.6136, -1.452792, 0.000797999, 0.03187544, 502.6414, 0.432833, 0.3240928, 0.02815642
 
0.7499996, -2.274853E-05, -0.002349018, 5, 0.008560861, 0.0009971951749332197320847194, 135506.1, -952.146, -1.452792, 0.000797999, 0.03187544, 503.2043, 0.4327838, 0.323856, 0.02817957
 
0.7599996, 0.0002070729, -0.002349245, 5, 0.008626958, 0.0009932084368005134679466363, 135754.3, -952.6802, -1.452792, 0.000797999, 0.03187544, 503.7837, 0.4327346, 0.3236192, 0.02820272
 
0.7699996, -9.015275E-05, -0.002347175, 5, 0.008737468, 0.0009894771633603606291606848, 136011.5, -953.2101, -1.452792, 0.000797999, 0.03187544, 504.3799, 0.4326839, 0.3233825, 0.02822587
 
