"1/K","F(K)","G(K)","X1R(K)","X2R(K)","X1I(K)","X2I(K)"
1.158932,.77161155257992,-.186605501147302,1.36915937891731,1.04092577382749,1.14696487292555,1.14696487292555
1.160278,.770590231156696,-.18673081820667,1.36915818564814,1.04100848317641,1.14698265049851,1.14698265049851
1.161628,.769574387728177,-.186851736261096,1.36915699712934,1.0410914870062,1.14700049981051,1.14700049981051
1.16298,.768563988488764,-.186968322991372,1.36915581342487,1.04117478670049,1.1470184211055,1.1470184211055
1.164335,.767558999779675,-.187080644967524,1.36915463459934,1.04125838365093,1.14703641462833,1.14703641462833
1.165694,.766559388091354,-.187188767669913,1.36915346071798,1.04134227925725,1.14705448062482,1.14705448062482
1.167056,.765565120065742,-.187292755509861,1.36915229184666,1.0414264749273,1.1470726193417,1.1470726193417
1.168421,.76457616249842,-.187392671849805,1.36915112805191,1.04151097207711,1.14709083102666,1.14709083102666
1.169789,.763592482340623,-.187488579023011,1.36914996940089,1.04159577213097,1.14710911592833,1.14710911592833
1.17116,.762614046701132,-.187580538352846,1.36914881596145,1.04168087652145,1.14712747429626,1.14712747429626
1.172535,.761640822848053,-.187668610171622,1.36914766780208,1.04176628668948,1.14714590638101,1.14714590638101
1.173913,.760672778210477,-.187752853839026,1.36914652499196,1.0418520040844,1.14716441243403,1.14716441243403
1.175294,.759709880380036,-.187833327760147,1.36914538760096,1.04193803016401,1.14718299270779,1.14718299270779
1.176678,.758752097112354,-.187910089403106,1.36914425569962,1.04202436639466,1.14720164745569,1.14720164745569
1.178066,.757799396328393,-.187983195316307,1.36914312935917,1.04211101425127,1.1472203769321,1.1472203769321
1.179456,.75685174611571,-.188052701145311,1.36914200865157,1.04219797521742,1.14723918139237,1.14723918139237
1.180851,.755909114729613,-.188118661649351,1.36914089364947,1.04228525078537,1.14725806109284,1.14725806109284
1.182248,.75497147059423,-.188181130717483,1.36913978442624,1.04237284245617,1.14727701629081,1.14727701629081
1.183649,.754038782303491,-.188240161384407,1.36913868105597,1.04246075173969,1.14729604724457,1.14729604724457
